时间(s),实际响应温度(℃),真实仿真温度(℃),阀门开度(%),误差(℃),Kp,Ti/10,Td*2
7.341000000000000000e+03,4.000122757855667146e+02,4.047293826570258943e+02,4.118015022037400286e+01,-1.227578556671460319e-02,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.342000000000000000e+03,4.001085114873999942e+02,4.044929395284226530e+02,3.657761628248579200e+01,-1.085114873999941665e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.343000000000000000e+03,3.993226176754495214e+02,4.047299024590024601e+02,3.584319585555176957e+01,6.773823245504786428e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.344000000000000000e+03,4.006903789496558375e+02,4.045608040278066255e+02,4.227648278097738910e+01,-6.903789496558374594e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.345000000000000000e+03,4.000224985638874955e+02,4.047722222762535580e+02,3.068737524348797052e+01,-2.249856388749549296e-02,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.346000000000000000e+03,4.001687297389312903e+02,4.048648470930764915e+02,3.681777058984379636e+01,-1.687297389312902851e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.347000000000000000e+03,3.997444755725021537e+02,4.046026376172696928e+02,3.558685509297406213e+01,2.555244274978463181e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.348000000000000000e+03,4.003555369079232378e+02,4.042563786216937274e+02,3.908414129001788240e+01,-3.555369079232377771e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.349000000000000000e+03,4.000159528640284066e+02,4.042475593589710456e+02,3.386498225353027181e+01,-1.595286402840656592e-02,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.350000000000000000e+03,3.997018107093115873e+02,4.048775600821483636e+02,3.690429888478784193e+01,2.981892906884127115e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.351000000000000000e+03,4.001514332743018372e+02,4.043893885176989897e+02,3.935107192845939039e+01,-1.514332743018371730e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.352000000000000000e+03,4.005408754321194351e+02,4.044257384559494994e+02,3.541411319031397653e+01,-5.408754321194351178e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.353000000000000000e+03,3.998840876925923453e+02,4.044955163972347236e+02,3.244136789577626701e+01,1.159123074076546800e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.354000000000000000e+03,4.001075994699118041e+02,4.044981213239778981e+02,3.815704927443805872e+01,-1.075994699118041353e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.355000000000000000e+03,3.998992798649668430e+02,4.041869284418845041e+02,3.609187709760939100e+01,1.007201350331570211e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.356000000000000000e+03,3.999533507312684151e+02,4.044988371816703534e+02,3.777229803848933898e+01,4.664926873158492526e-02,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.357000000000000000e+03,3.998489036593722972e+02,4.043987076179262772e+02,3.716270633626493947e+01,1.510963406277028298e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.358000000000000000e+03,4.002264268381276224e+02,4.049591744699422406e+02,3.793045371497370866e+01,-2.264268381276224318e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.359000000000000000e+03,4.000961895623617011e+02,4.045553954026719907e+02,3.475613213812807345e+01,-9.618956236170106422e-02,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.360000000000000000e+03,4.002251855550296682e+02,4.048240070960862909e+02,3.602823788182107023e+01,-2.251855550296681940e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.361000000000000000e+03,3.998205034464261871e+02,4.043944965497361181e+02,3.502909318245094283e+01,1.794965535738128892e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.362000000000000000e+03,3.998514938986007223e+02,4.044190636230374025e+02,3.841653413523225424e+01,1.485061013992776680e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.363000000000000000e+03,4.000019597068329631e+02,4.045108483211885186e+02,3.791383185010414536e+01,-1.959706832963092893e-03,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.364000000000000000e+03,3.996815881186295201e+02,4.044667364837110313e+02,3.655873110435590689e+01,3.184118813704799322e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.365000000000000000e+03,4.001923707703921878e+02,4.042581582255710373e+02,3.916761219998792143e+01,-1.923707703921877510e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.366000000000000000e+03,3.998580321302286507e+02,4.049473264183460515e+02,3.481217012557716117e+01,1.419678697713493420e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.367000000000000000e+03,4.002054340547268225e+02,4.050159042615392195e+02,3.776865454046247805e+01,-2.054340547268225237e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.368000000000000000e+03,3.992715127644349877e+02,4.048506834312440219e+02,3.487322481529425744e+01,7.284872355650122699e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.369000000000000000e+03,3.998151561091881945e+02,4.044242102895007633e+02,4.261485518027512853e+01,1.848438908118055224e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
7.370000000000000000e+03,3.997166558491563251e+02,4.043442204070357775e+02,3.761476863821754080e+01,2.833441508436749245e-01,4.671627834354671549e+00,3.250000000000000000e+00,4.615384615384614975e+00
