时间(s),实际响应温度(℃),真实仿真温度(℃),阀门开度(%),误差(℃)
1.715000000000000000e+03,3.999310892730723026e+02,4.045270876799844473e+02,3.452600349099235189e+01,6.891072692769739660e-02
1.716000000000000000e+03,4.000947733310104582e+02,4.040277721127736186e+02,3.733771509841079705e+01,-9.477333101045815056e-02
1.717000000000000000e+03,3.997961655311754612e+02,4.042817975166899487e+02,3.649939085143098794e+01,2.038344688245388170e-01
1.718000000000000000e+03,4.001385597739893569e+02,4.040693589858936434e+02,3.779583981215514399e+01,-1.385597739893569269e-01
1.719000000000000000e+03,3.999329142372253614e+02,4.043078377250519111e+02,3.615136133814213792e+01,6.708576277463862425e-02
1.720000000000000000e+03,3.992818157770415155e+02,4.043467459733556666e+02,3.711561371191950798e+01,7.181842229584844972e-01
1.721000000000000000e+03,4.005230039827891346e+02,4.049414853555842910e+02,3.989661524470095344e+01,-5.230039827891346249e-01
1.722000000000000000e+03,3.998782056809110372e+02,4.045712725889241028e+02,3.413470173090417603e+01,1.217943190889627658e-01
1.723000000000000000e+03,3.999548604840256303e+02,4.043238772864619364e+02,3.732983305332946600e+01,4.513951597436971497e-02
1.724000000000000000e+03,4.000321503368693925e+02,4.039571019433771539e+02,3.693070948261587461e+01,-3.215033686939250401e-02
1.725000000000000000e+03,4.004731789103389588e+02,4.043728081616840200e+02,3.659064462270116280e+01,-4.731789103389587581e-01
1.726000000000000000e+03,4.000503995180127390e+02,4.040776458366470933e+02,3.470481019639500886e+01,-5.039951801273900855e-02
1.727000000000000000e+03,4.004138483377203102e+02,4.046232917451673075e+02,3.678458073406640949e+01,-4.138483377203101554e-01
1.728000000000000000e+03,4.000319980118327408e+02,4.043096264476700412e+02,3.514086360246282936e+01,-3.199801183274075811e-02
1.729000000000000000e+03,4.006607414919442363e+02,4.041415065451184319e+02,3.693677870474290614e+01,-6.607414919442362589e-01
1.730000000000000000e+03,3.999918895986212419e+02,4.045356026469818289e+02,3.408495869961225111e+01,8.110401378758069768e-03
1.731000000000000000e+03,3.993511944750498515e+02,4.046774986782602355e+02,3.722454706950755821e+01,6.488055249501485378e-01
1.732000000000000000e+03,3.992836632866676041e+02,4.045988803894393300e+02,3.982296260058378579e+01,7.163367133323959024e-01
1.733000000000000000e+03,4.003336420476991862e+02,4.045584268904367491e+02,3.967329415754928590e+01,-3.336420476991861506e-01
