时间(s),输入信号(%),动态响应温度(℃)
4398,45.631463885449385,404.64072366901064
4399,45.74974730758792,404.68357908185646
4400,45.78707928510715,404.72107749992426
4401,45.71451666548732,404.7486419026904
4402,45.547218960305955,404.75992817617737
4403,45.33373576301945,404.75355329907984
4404,45.13430228273283,404.73232433784705
4405,44.997183956745985,404.6995985072684
4406,44.940586012413725,404.65953304265474
4407,44.96429402633138,404.61814890797467
4408,45.06369666821686,404.5829768824222
4409,45.21540220160255,404.56228225691547
4410,45.37968912707456,404.5639297604281
4411,45.52714398899095,404.59252381613265
4412,45.63454783023362,404.6450256192976
4413,45.672553183775705,404.7100808355565
4414,45.622582565163,404.77287430924935
4415,45.48149231972944,404.82110223990736
4416,45.25121025935854,404.8495042482992
4417,44.95079356822155,404.86150019512223
4418,44.62345800551364,404.8656185993655
4419,44.31328289612225,404.8667060418585
4420,44.0447981141659,404.85930332770295
4421,43.834425082269206,404.8337298804272
4422,43.71254221970605,404.788537597201
4423,43.708984880854445,404.73125768620565
4424,43.8113818252344,404.6669136159305
4425,43.96166458475115,404.5916994517306
4426,44.10753358324392,404.5018920107281
4427,44.235453253609656,404.4056000313222
4428,44.34393840821015,404.3215388385229
4429,44.42166773557805,404.2683251368784
4430,44.45969350939959,404.2557701085951
4431,44.46787123553727,404.2832384418261
4432,44.48056665830439,404.34220671715656
4433,44.53101825363746,404.41765437911545
4434,44.62352065470087,404.49122038653127
4435,44.745549849789974,404.54936862552995
4436,44.87995062861539,404.5872935251211
4437,45.00269536130485,404.60382437814263
4438,45.10105426619758,404.5981978057766
4439,45.18669869216827,404.5748517886735
4440,45.27288132435909,404.54608979977934
4441,45.3520967913544,404.52327740127885
4442,45.39600575141063,404.5063557721192
4443,45.36631437717273,404.48657677392725
4444,45.23313860784884,404.4590602533468
4445,44.99707368404215,404.42936871486495
4446,44.70176023571861,404.40801838781715
4447,44.41275930005911,404.4021876688193
4448,44.184131229206976,404.4124537588788
4449,44.0523277080732,404.4339819587999
4450,44.03343096062962,404.4605414508632
4451,44.10838476726241,404.4880126463007
4452,44.222445263247494,404.5135364054182
4453,44.31966611316402,404.53420189075405
4454,44.39285550496382,404.54996365570435
4455,44.478848628884954,404.56352687752354
4456,44.60389246102691,404.5732335213759
4457,44.75877885247459,404.5705072227322
4458,44.90792450849903,404.54846962315
4459,45.01322642596295,404.5107700684387
4460,45.06677403715548,404.4697211742093
4461,45.09091742263592,404.43920577889213
4462,45.099115435835614,404.4286755059504
4463,45.07536237195411,404.437806411515
4464,45.00369662246548,404.4579151748457
4465,44.892517090811616,404.4782243464096
4466,44.759074176559224,404.48746718864595
4467,44.627794747150745,404.47599775163263
4468,44.53788496945878,404.4407562210783
4469,44.50898026488211,404.3864355840664
4470,44.51689061631017,404.3244904126896
4471,44.52861479247775,404.2709350142153
4472,44.53356259583948,404.239610709147
4473,44.531326941607276,404.235906567861
4474,44.5162594337217,404.2579987752608
4475,44.47210296280845,404.30093645443236
4476,44.37638270294325,404.357767087738
4477,44.23371067030628,404.42027697723904
4478,44.096224221647354,404.4809357406657
4479,44.030403995800945,404.53460682421985
4480,44.07677182150051,404.576811676949
4481,44.24855491459154,404.60188655858906
4482,44.55120340149293,404.60756823770475
4483,44.97352533697443,404.5965450398605
4484,45.457780222872046,404.57079460657025
4485,45.90688539490466,404.5302645442718
4486,46.221729217464386,404.4761802906865
4487,46.33668986696644,404.4137162955581
4488,46.25592918501991,404.3528739283954
4489,46.06276401989843,404.30555356263744
4490,45.87774542834418,404.2807849193159
4491,45.78955369625634,404.28150398302245
